"date","state","confirmed","deaths"
2020-03-12,"DF",2,0
2020-03-13,"DF",2,0
2020-03-14,"DF",8,0
2020-03-15,"DF",14,0
2020-03-16,"DF",19,0
2020-03-18,"DF",34,0
2020-03-19,"DF",42,0
2020-03-20,"DF",87,0
2020-03-21,"DF",108,0
2020-03-22,"DF",117,0
2020-03-23,"DF",138,0
2020-03-24,"DF",161,0
2020-03-25,"DF",191,0
2020-03-26,"DF",201,0
2020-03-27,"DF",241,0
2020-03-28,"DF",260,0
2020-03-29,"DF",298,1
2020-03-30,"DF",312,2
2020-03-31,"DF",333,3
2020-04-01,"DF",370,4
2020-04-02,"DF",400,5
2020-04-03,"DF",419,6
2020-04-04,"DF",456,7
2020-04-05,"DF",468,7
2020-04-06,"DF",485,10
2020-04-07,"DF",503,12
2020-04-08,"DF",509,12
2020-04-09,"DF",527,13
2020-04-10,"DF",556,14
2020-04-11,"DF",592,14
2020-04-12,"DF",618,14
2020-04-13,"DF",641,15
2020-04-14,"DF",651,17
2020-04-15,"DF",688,17
2020-04-16,"DF",727,20
2020-04-17,"DF",756,24
2020-04-18,"DF",796,24
2020-03-05,"ES",1,0
2020-03-06,"ES",1,0
2020-03-07,"ES",1,0
2020-03-08,"ES",1,0
2020-03-09,"ES",1,0
2020-03-10,"ES",1,0
2020-03-11,"ES",1,0
2020-03-12,"ES",2,0
2020-03-13,"ES",2,0
2020-03-14,"ES",4,0
2020-03-15,"ES",4,0
2020-03-16,"ES",8,0
2020-03-17,"ES",8,0
2020-03-18,"ES",11,0
2020-03-19,"ES",13,0
2020-03-20,"ES",16,0
2020-03-21,"ES",26,0
2020-03-22,"ES",26,0
2020-03-23,"ES",33,0
2020-03-24,"ES",40,0
2020-03-25,"ES",40,0
2020-03-26,"ES",48,0
2020-03-27,"ES",54,0
2020-03-28,"ES",61,0
2020-03-29,"ES",72,0
2020-03-30,"ES",85,0
2020-03-31,"ES",97,0
2020-04-01,"ES",120,0
2020-04-02,"ES",139,2
2020-04-03,"ES",153,5
2020-04-04,"ES",166,6
2020-04-05,"ES",194,6
2020-04-06,"ES",209,6
2020-04-07,"ES",227,6
2020-04-08,"ES",273,6
2020-04-09,"ES",300,7
2020-04-10,"ES",349,8
2020-04-11,"ES",383,9
2020-04-12,"ES",430,14
2020-04-13,"ES",463,17
2020-04-14,"ES",557,18
2020-04-15,"ES",734,21
2020-04-16,"ES",935,28
2020-04-17,"ES",952,28
2020-04-18,"ES",1099,30
2020-03-12,"GO",3,0
2020-03-13,"GO",3,0
2020-03-14,"GO",4,0
2020-03-15,"GO",4,0
2020-03-16,"GO",9,0
2020-03-17,"GO",10,0
2020-03-18,"GO",12,0
2020-03-19,"GO",15,0
2020-03-20,"GO",18,0
2020-03-21,"GO",19,0
2020-03-22,"GO",21,0
2020-03-23,"GO",23,0
2020-03-24,"GO",29,0
2020-03-25,"GO",35,0
2020-03-26,"GO",38,1
2020-03-27,"GO",49,1
2020-03-28,"GO",56,1
2020-03-29,"GO",56,1
2020-03-30,"GO",60,1
2020-03-31,"GO",65,1
2020-04-01,"GO",73,1
2020-04-02,"GO",73,1
2020-04-03,"GO",88,2
2020-04-04,"GO",103,2
2020-04-05,"GO",115,3
2020-04-06,"GO",119,5
2020-04-07,"GO",133,5
2020-04-08,"GO",159,7
2020-04-09,"GO",179,7
2020-04-10,"GO",191,8
2020-04-11,"GO",209,10
2020-04-12,"GO",229,14
2020-04-13,"GO",233,15
2020-04-14,"GO",284,15
2020-04-15,"GO",304,15
2020-04-16,"GO",318,16
2020-04-17,"GO",335,16
2020-04-18,"GO",378,18
2020-03-20,"MA",1,0
2020-03-21,"MA",2,0
2020-03-22,"MA",2,0
2020-03-23,"MA",8,0
2020-03-24,"MA",8,0
2020-03-25,"MA",8,0
2020-03-26,"MA",10,0
2020-03-27,"MA",13,0
2020-03-28,"MA",15,0
2020-03-29,"MA",21,1
2020-03-30,"MA",30,1
2020-03-31,"MA",51,1
2020-04-01,"MA",70,1
2020-04-02,"MA",80,1
2020-04-03,"MA",87,1
2020-04-04,"MA",95,2
2020-04-05,"MA",132,2
2020-04-06,"MA",171,4
2020-04-07,"MA",229,11
2020-04-08,"MA",272,12
2020-04-09,"MA",293,16
2020-04-10,"MA",344,21
2020-04-11,"MA",398,24
2020-04-12,"MA",445,27
2020-04-13,"MA",478,32
2020-04-14,"MA",630,34
2020-04-15,"MA",695,37
2020-04-16,"MA",797,40
2020-04-17,"MA",1040,44
2020-04-18,"MA",1205,48
2020-03-08,"MG",1,0
2020-03-09,"MG",1,0
2020-03-10,"MG",1,0
2020-03-11,"MG",1,0
2020-03-12,"MG",2,0
2020-03-13,"MG",2,0
2020-03-14,"MG",4,0
2020-03-16,"MG",6,0
2020-03-17,"MG",14,0
2020-03-18,"MG",19,0
2020-03-19,"MG",29,0
2020-03-20,"MG",38,0
2020-03-21,"MG",55,0
2020-03-22,"MG",83,0
2020-03-23,"MG",128,0
2020-03-24,"MG",130,0
2020-03-25,"MG",133,0
2020-03-26,"MG",153,0
2020-03-27,"MG",189,0
2020-03-28,"MG",205,0
2020-03-29,"MG",231,0
2020-03-30,"MG",261,1
2020-03-31,"MG",275,2
2020-04-01,"MG",314,3
2020-04-02,"MG",370,4
2020-04-03,"MG",397,6
2020-04-04,"MG",430,6
2020-04-05,"MG",498,6
2020-04-06,"MG",525,9
2020-04-07,"MG",559,11
2020-04-08,"MG",614,14
2020-04-09,"MG",655,15
2020-04-10,"MG",698,17
2020-04-11,"MG",750,17
2020-04-12,"MG",806,20
2020-04-13,"MG",815,23
2020-04-14,"MG",884,27
2020-04-15,"MG",903,30
2020-04-16,"MG",958,33
2020-04-17,"MG",1021,35
2020-04-18,"MG",1077,39
2020-03-14,"MS",2,0
2020-03-15,"MS",2,0
2020-03-16,"MS",4,0
2020-03-17,"MS",6,0
2020-03-18,"MS",7,0
2020-03-19,"MS",9,0
2020-03-20,"MS",12,0
2020-03-21,"MS",16,0
2020-03-22,"MS",21,0
2020-03-23,"MS",21,0
2020-03-24,"MS",24,0
2020-03-25,"MS",24,0
2020-03-26,"MS",25,0
2020-03-27,"MS",28,0
2020-03-28,"MS",31,0
2020-03-29,"MS",36,0
2020-03-30,"MS",44,0
2020-03-31,"MS",48,1
2020-04-01,"MS",51,1
2020-04-02,"MS",53,1
2020-04-03,"MS",60,1
2020-04-04,"MS",62,1
2020-04-05,"MS",65,1
2020-04-06,"MS",66,1
2020-04-07,"MS",80,2
2020-04-08,"MS",85,2
2020-04-09,"MS",89,2
2020-04-10,"MS",97,2
2020-04-11,"MS",100,2
2020-04-12,"MS",101,2
2020-04-13,"MS",113,4
2020-04-14,"MS",115,4
2020-04-15,"MS",121,4
2020-04-16,"MS",131,5
2020-04-17,"MS",143,5
2020-04-18,"MS",161,5
2020-03-20,"MT",1,0
2020-03-22,"MT",2,0
2020-03-23,"MT",6,0
2020-03-24,"MT",7,0
2020-03-25,"MT",9,0
2020-03-26,"MT",11,0
2020-03-27,"MT",11,0
2020-03-30,"MT",18,0
2020-03-31,"MT",25,0
2020-04-01,"MT",28,0
2020-04-02,"MT",41,0
2020-04-03,"MT",44,1
2020-04-04,"MT",60,1
2020-04-05,"MT",60,1
2020-04-06,"MT",76,1
2020-04-07,"MT",78,1
2020-04-08,"MT",90,1
2020-04-09,"MT",108,2
2020-04-10,"MT",112,2
2020-04-11,"MT",121,3
2020-04-12,"MT",123,3
2020-04-13,"MT",134,4
2020-04-14,"MT",138,4
2020-04-15,"MT",151,4
2020-04-16,"MT",156,5
2020-04-17,"MT",162,5
2020-04-18,"MT",171,5
2020-03-18,"PA",1,0
2020-03-19,"PA",1,0
2020-03-20,"PA",2,0
2020-03-21,"PA",2,0
2020-03-22,"PA",4,0
2020-03-23,"PA",5,0
2020-03-24,"PA",5,0
2020-03-25,"PA",7,0
2020-03-26,"PA",13,0
2020-03-27,"PA",16,0
2020-03-28,"PA",18,0
2020-03-29,"PA",20,0
2020-03-30,"PA",26,0
2020-03-31,"PA",34,0
2020-04-01,"PA",41,1
2020-04-02,"PA",49,1
2020-04-03,"PA",75,1
2020-04-04,"PA",82,1
2020-04-05,"PA",86,1
2020-04-06,"PA",123,5
2020-04-07,"PA",154,5
2020-04-08,"PA",165,6
2020-04-09,"PA",169,7
2020-04-10,"PA",217,9
2020-04-11,"PA",237,11
2020-04-12,"PA",259,14
2020-04-13,"PA",310,14
2020-04-14,"PA",384,21
2020-04-15,"PA",487,21
2020-04-16,"PA",557,26
2020-04-17,"PA",627,32
2020-04-18,"PA",641,33
2020-03-12,"PB",0,0
2020-03-13,"PB",0,0
2020-03-14,"PB",0,0
2020-03-15,"PB",0,0
2020-03-16,"PB",0,0
2020-03-17,"PB",0,0
2020-03-18,"PB",1,0
2020-03-19,"PB",1,0
2020-03-20,"PB",1,0
2020-03-21,"PB",1,0
2020-03-22,"PB",1,0
2020-03-23,"PB",2,0
2020-03-24,"PB",3,0
2020-03-25,"PB",5,0
2020-03-26,"PB",6,0
2020-03-27,"PB",10,0
2020-03-28,"PB",14,0
2020-03-29,"PB",14,0
2020-03-30,"PB",17,0
2020-03-31,"PB",18,1
2020-04-01,"PB",21,1
2020-04-02,"PB",29,1
2020-04-03,"PB",32,1
2020-04-04,"PB",34,3
2020-04-05,"PB",35,4
2020-04-06,"PB",36,4
2020-04-07,"PB",41,4
2020-04-08,"PB",55,7
2020-04-09,"PB",79,11
2020-04-10,"PB",85,11
2020-04-11,"PB",101,13
2020-04-12,"PB",111,13
2020-04-13,"PB",136,16
2020-04-14,"PB",152,21
2020-04-15,"PB",165,24
2020-04-16,"PB",195,26
2020-04-17,"PB",205,28
2020-04-18,"PB",236,29
2020-03-12,"PE",2,0
2020-03-13,"PE",2,0
2020-03-14,"PE",7,0
2020-03-15,"PE",8,0
2020-03-16,"PE",8,0
2020-03-17,"PE",18,0
2020-03-18,"PE",19,0
2020-03-19,"PE",28,0
2020-03-20,"PE",31,0
2020-03-21,"PE",33,0
2020-03-22,"PE",37,0
2020-03-23,"PE",42,0
2020-03-24,"PE",42,0
2020-03-25,"PE",46,1
2020-03-26,"PE",48,3
2020-03-27,"PE",57,4
2020-03-28,"PE",68,5
2020-03-29,"PE",73,5
2020-03-30,"PE",77,6
2020-03-31,"PE",87,6
2020-04-01,"PE",95,8
2020-04-02,"PE",106,9
2020-04-03,"PE",136,10
2020-04-04,"PE",176,14
2020-04-05,"PE",201,21
2020-04-06,"PE",223,30
2020-04-07,"PE",352,34
2020-04-08,"PE",401,46
2020-04-09,"PE",555,56
2020-04-10,"PE",684,65
2020-04-11,"PE",816,72
2020-04-12,"PE",960,85
2020-04-13,"PE",1154,102
2020-04-14,"PE",1284,115
2020-04-15,"PE",1484,143
2020-04-16,"PE",1683,160
2020-04-17,"PE",2006,186
2020-04-18,"PE",2193,205
2020-03-19,"PI",3,0
2020-03-20,"PI",4,0
2020-03-21,"PI",4,0
2020-03-22,"PI",6,0
2020-03-23,"PI",6,0
2020-03-24,"PI",8,0
2020-03-25,"PI",8,0
2020-03-26,"PI",9,0
2020-03-27,"PI",10,1
2020-03-28,"PI",11,1
2020-03-30,"PI",18,4
2020-03-31,"PI",18,4
2020-04-01,"PI",19,4
2020-04-02,"PI",19,4
2020-04-03,"PI",22,4
2020-04-04,"PI",24,4
2020-04-05,"PI",24,4
2020-04-06,"PI",26,4
2020-04-07,"PI",31,5
2020-04-08,"PI",38,6
2020-04-09,"PI",40,7
2020-04-10,"PI",41,7
2020-04-11,"PI",44,7
2020-04-12,"PI",51,7
2020-04-13,"PI",58,8
2020-04-14,"PI",75,8
2020-04-15,"PI",91,8
2020-04-16,"PI",102,8
2020-04-17,"PI",123,9
2020-04-18,"PI",144,10
2020-03-12,"PR",6,0
2020-03-13,"PR",6,0
2020-03-16,"PR",6,0
2020-03-17,"PR",12,0
2020-03-18,"PR",14,0
2020-03-19,"PR",23,0
2020-03-20,"PR",36,0
2020-03-21,"PR",43,0
2020-03-22,"PR",54,0
2020-03-23,"PR",60,0
2020-03-24,"PR",70,0
2020-03-25,"PR",97,0
2020-03-26,"PR",106,0
2020-03-27,"PR",125,2
2020-03-28,"PR",137,2
2020-03-29,"PR",152,2
2020-03-30,"PR",160,3
2020-03-31,"PR",185,3
2020-04-01,"PR",229,3
2020-04-02,"PR",258,4
2020-04-03,"PR",307,5
2020-04-04,"PR",401,7
2020-04-05,"PR",445,10
2020-04-06,"PR",466,14
2020-04-07,"PR",511,15
2020-04-08,"PR",550,17
2020-04-09,"PR",621,24
2020-04-10,"PR",655,26
2020-04-11,"PR",688,27
2020-04-12,"PR",750,31
2020-04-13,"PR",768,33
2020-04-14,"PR",803,39
2020-04-15,"PR",816,41
2020-04-16,"PR",845,43
2020-04-17,"PR",887,44
2020-03-05,"RJ",1,0
2020-03-06,"RJ",2,0
2020-03-08,"RJ",3,0
2020-03-12,"RJ",15,0
2020-03-15,"RJ",24,0
2020-03-16,"RJ",25,0
2020-03-18,"RJ",63,0
2020-03-19,"RJ",66,2
2020-03-21,"RJ",119,3
2020-03-22,"RJ",186,3
2020-03-23,"RJ",233,4
2020-03-24,"RJ",305,6
2020-03-25,"RJ",370,8
2020-03-26,"RJ",421,9
2020-03-27,"RJ",493,10
2020-03-28,"RJ",558,13
2020-03-29,"RJ",600,17
2020-03-30,"RJ",657,18
2020-03-31,"RJ",708,23
2020-04-01,"RJ",832,28
2020-04-02,"RJ",992,41
2020-04-03,"RJ",1074,47
2020-04-04,"RJ",1246,58
2020-04-05,"RJ",1394,64
2020-04-06,"RJ",1461,71
2020-04-07,"RJ",1688,89
2020-04-08,"RJ",1938,106
2020-04-09,"RJ",2216,122
2020-04-10,"RJ",2464,147
2020-04-11,"RJ",2607,155
2020-04-12,"RJ",2855,170
2020-04-13,"RJ",3221,182
2020-04-14,"RJ",3410,224
2020-04-15,"RJ",3743,265
2020-04-16,"RJ",3944,301
2020-04-17,"RJ",4349,341
2020-04-18,"RJ",4543,387
2020-03-12,"RN",1,0
2020-03-13,"RN",1,0
2020-03-16,"RN",1,0
2020-03-18,"RN",1,0
2020-03-20,"RN",6,0
2020-03-21,"RN",9,0
2020-03-22,"RN",13,0
2020-03-24,"RN",14,0
2020-03-25,"RN",14,0
2020-03-26,"RN",19,0
2020-03-27,"RN",28,0
2020-03-28,"RN",68,1
2020-03-30,"RN",77,1
2020-03-31,"RN",82,1
2020-04-01,"RN",92,2
2020-04-02,"RN",106,2
2020-04-03,"RN",176,4
2020-04-04,"RN",215,6
2020-04-05,"RN",246,7
2020-04-07,"RN",254,8
2020-04-08,"RN",261,11
2020-04-10,"RN",263,11
2020-04-11,"RN",289,13
2020-04-12,"RN",339,17
2020-04-13,"RN",376,18
2020-04-14,"RN",399,19
2020-04-15,"RN",400,20
2020-04-16,"RN",463,23
2020-04-17,"RN",516,24
2020-03-20,"RO",1,0
2020-03-21,"RO",3,0
2020-03-22,"RO",3,0
2020-03-24,"RO",5,0
2020-03-25,"RO",5,0
2020-03-26,"RO",6,0
2020-03-27,"RO",6,0
2020-03-28,"RO",6,0
2020-03-29,"RO",6,0
2020-03-30,"RO",8,1
2020-03-31,"RO",9,1
2020-04-01,"RO",9,1
2020-04-02,"RO",10,1
2020-04-03,"RO",10,1
2020-04-04,"RO",11,1
2020-04-05,"RO",14,1
2020-04-06,"RO",18,1
2020-04-07,"RO",23,1
2020-04-08,"RO",26,1
2020-04-09,"RO",28,2
2020-04-10,"RO",32,2
2020-04-11,"RO",34,2
2020-04-12,"RO",42,2
2020-04-14,"RO",69,2
2020-04-15,"RO",73,2
2020-04-16,"RO",92,3
2020-04-17,"RO",110,3
2020-04-18,"RO",128,4
2020-03-21,"RR",2,0
2020-03-22,"RR",2,0
2020-03-23,"RR",2,0
2020-03-24,"RR",8,0
2020-03-25,"RR",8,0
2020-03-26,"RR",10,0
2020-03-27,"RR",12,0
2020-03-28,"RR",16,0
2020-03-29,"RR",16,0
2020-03-30,"RR",16,0
2020-03-31,"RR",16,0
2020-04-01,"RR",26,0
2020-04-02,"RR",30,0
2020-04-03,"RR",37,1
2020-04-04,"RR",42,1
2020-04-05,"RR",42,1
2020-04-06,"RR",42,1
2020-04-07,"RR",49,1
2020-04-08,"RR",52,1
2020-04-09,"RR",63,2
2020-04-10,"RR",75,3
2020-04-11,"RR",79,3
2020-04-12,"RR",83,3
2020-04-13,"RR",113,3
2020-04-14,"RR",114,3
2020-04-15,"RR",142,3
2020-04-16,"RR",164,3
2020-04-17,"RR",201,3
2020-04-18,"RR",222,3
2020-03-10,"RS",1,0
2020-03-11,"RS",2,0
2020-03-12,"RS",4,0
2020-03-13,"RS",4,0
2020-03-16,"RS",8,0
2020-03-18,"RS",19,0
2020-03-19,"RS",31,0
2020-03-20,"RS",43,0
2020-03-21,"RS",69,0
2020-03-22,"RS",77,0
2020-03-23,"RS",96,0
2020-03-24,"RS",112,0
2020-03-25,"RS",162,1
2020-03-26,"RS",190,1
2020-03-27,"RS",197,2
2020-03-28,"RS",200,2
2020-03-29,"RS",230,2
2020-03-30,"RS",254,4
2020-03-31,"RS",305,4
2020-04-01,"RS",316,5
2020-04-02,"RS",386,5
2020-04-03,"RS",410,6
2020-04-04,"RS",418,7
2020-04-05,"RS",468,7
2020-04-06,"RS",501,8
2020-04-07,"RS",555,8
2020-04-08,"RS",581,10
2020-04-09,"RS",636,14
2020-04-10,"RS",640,15
2020-04-11,"RS",653,16
2020-04-12,"RS",664,16
2020-04-13,"RS",685,17
2020-04-14,"RS",720,18
2020-04-15,"RS",762,19
2020-04-16,"RS",792,21
2020-04-17,"RS",831,24
2020-04-18,"RS",854,24
2020-03-12,"SC",2,0
2020-03-13,"SC",3,0
2020-03-14,"SC",5,0
2020-03-15,"SC",6,0
2020-03-16,"SC",7,0
2020-03-17,"SC",7,0
2020-03-18,"SC",14,0
2020-03-19,"SC",21,0
2020-03-20,"SC",40,0
2020-03-21,"SC",57,0
2020-03-22,"SC",68,0
2020-03-23,"SC",86,0
2020-03-24,"SC",109,0
2020-03-25,"SC",122,0
2020-03-26,"SC",149,1
2020-03-27,"SC",163,1
2020-03-28,"SC",184,1
2020-03-29,"SC",197,1
2020-03-30,"SC",219,2
2020-03-31,"SC",235,2
2020-04-01,"SC",247,2
2020-04-02,"SC",281,5
2020-04-03,"SC",301,5
2020-04-04,"SC",356,10
2020-04-05,"SC",379,10
2020-04-06,"SC",417,11
2020-04-07,"SC",457,15
2020-04-08,"SC",501,17
2020-04-09,"SC",693,18
2020-04-10,"SC",717,18
2020-04-11,"SC",732,21
2020-04-12,"SC",776,24
2020-04-13,"SC",826,26
2020-04-14,"SC",853,28
2020-04-15,"SC",884,29
2020-04-16,"SC",926,30
2020-04-17,"SC",962,31
2020-04-18,"SC",975,32
2020-03-14,"SE",1,0
2020-03-16,"SE",5,0
2020-03-18,"SE",6,0
2020-03-20,"SE",7,0
2020-03-21,"SE",10,0
2020-03-24,"SE",15,0
2020-03-25,"SE",16,0
2020-03-27,"SE",16,0
2020-03-30,"SE",18,0
2020-03-31,"SE",19,0
2020-04-01,"SE",22,0
2020-04-02,"SE",24,2
2020-04-03,"SE",27,2
2020-04-04,"SE",32,3
2020-04-06,"SE",32,4
2020-04-07,"SE",36,4
2020-04-08,"SE",39,4
2020-04-09,"SE",40,4
2020-04-10,"SE",42,4
2020-04-11,"SE",44,4
2020-04-13,"SE",45,4
2020-04-14,"SE",46,4
2020-04-15,"SE",48,4
2020-04-16,"SE",53,4
2020-04-17,"SE",58,4
2020-04-18,"SE",71,5
2020-02-25,"SP",1,0
2020-02-26,"SP",1,0
2020-02-27,"SP",1,0
2020-02-28,"SP",2,0
2020-02-29,"SP",2,0
2020-03-01,"SP",2,0
2020-03-02,"SP",2,0
2020-03-03,"SP",2,0
2020-03-04,"SP",3,0
2020-03-05,"SP",6,0
2020-03-06,"SP",10,0
2020-03-07,"SP",13,0
2020-03-08,"SP",16,0
2020-03-09,"SP",16,0
2020-03-10,"SP",19,0
2020-03-11,"SP",30,0
2020-03-12,"SP",46,0
2020-03-14,"SP",65,0
2020-03-16,"SP",152,0
2020-03-17,"SP",164,1
2020-03-18,"SP",240,3
2020-03-19,"SP",286,5
2020-03-20,"SP",396,9
2020-03-21,"SP",396,15
2020-03-22,"SP",631,22
2020-03-23,"SP",745,30
2020-03-24,"SP",810,40
2020-03-25,"SP",862,48
2020-03-26,"SP",1052,58
2020-03-27,"SP",1223,68
2020-03-28,"SP",1406,84
2020-03-29,"SP",1451,98
2020-03-30,"SP",1517,113
2020-03-31,"SP",2339,136
2020-04-01,"SP",2981,164
2020-04-02,"SP",3506,188
2020-04-03,"SP",4048,219
2020-04-04,"SP",4466,260
2020-04-05,"SP",4620,275
2020-04-06,"SP",4866,304
2020-04-07,"SP",5682,371
2020-04-08,"SP",6708,428
2020-04-09,"SP",7480,496
2020-04-10,"SP",8216,540
2020-04-11,"SP",8419,560
2020-04-12,"SP",8755,588
2020-04-13,"SP",8895,608
2020-04-14,"SP",9371,695
2020-04-15,"SP",11043,778
2020-04-16,"SP",11568,853
2020-04-17,"SP",12841,928
2020-04-18,"SP",13894,991
2020-03-18,"TO",1,0
2020-03-19,"TO",1,0
2020-03-20,"TO",1,0
2020-03-21,"TO",2,0
